Wallet address,@handle,Type,Stellar Expert
GAMMBOGSENFTPDLYTOASP5SGZ7SUA6SAIYIVQZLFSINSKPC6KNDXNKJQ,@muge,classic,https://stellar.expert/explorer/testnet/account/GAMMBOGSENFTPDLYTOASP5SGZ7SUA6SAIYIVQZLFSINSKPC6KNDXNKJQ
GAON3SWKHUH6BFLZY2E7LF53BVCYCYIZRC6SSWPH4UZW2JD6ZH2WQ2G7,@cansu,classic,https://stellar.expert/explorer/testnet/account/GAON3SWKHUH6BFLZY2E7LF53BVCYCYIZRC6SSWPH4UZW2JD6ZH2WQ2G7
GAPRASVL24YCFM6DAPMFL5MBEP6KMLZUDCBDKYJ5QCJYALQAC75STGZR,@anouk,classic,https://stellar.expert/explorer/testnet/account/GAPRASVL24YCFM6DAPMFL5MBEP6KMLZUDCBDKYJ5QCJYALQAC75STGZR
GAQTAQ7LYJRJKALJWEQGWXSB6XQMHUAV4F36VHYH4NSO5KFK4ZDR7YLB,@selin,classic,https://stellar.expert/explorer/testnet/account/GAQTAQ7LYJRJKALJWEQGWXSB6XQMHUAV4F36VHYH4NSO5KFK4ZDR7YLB
GAREDZY2PUWH7TIHPWI2JKJJKEX7ITVNJODBYUPVXHV74SW5EOC6NQV6,@solveig,classic,https://stellar.expert/explorer/testnet/account/GAREDZY2PUWH7TIHPWI2JKJJKEX7ITVNJODBYUPVXHV74SW5EOC6NQV6
GB5YYISB2P7OIM7ZO3K37ECKHLV7SCWJMGQ6G4Y3T4ZOQZTKHF3N3JH2,@kadir,classic,https://stellar.expert/explorer/testnet/account/GB5YYISB2P7OIM7ZO3K37ECKHLV7SCWJMGQ6G4Y3T4ZOQZTKHF3N3JH2
GB6GZSHDMFLPFD3VA47ENOTYAQU7QOVUJHGQKXGLJNXZRKLIXENW3XTL,@liesbeth,classic,https://stellar.expert/explorer/testnet/account/GB6GZSHDMFLPFD3VA47ENOTYAQU7QOVUJHGQKXGLJNXZRKLIXENW3XTL
GBBT3WJX26JRCOPBJHRXCF36EERZFFCJCXXNWHT6CCYKLZ6PSTF4AOB2,@kerem,classic,https://stellar.expert/explorer/testnet/account/GBBT3WJX26JRCOPBJHRXCF36EERZFFCJCXXNWHT6CCYKLZ6PSTF4AOB2
GBC5APLU7WZMAYRVFZYULYZL3WODTOYQVYNNW4FXSCQ3VPH2JBSAOMBI,@csaba,classic,https://stellar.expert/explorer/testnet/account/GBC5APLU7WZMAYRVFZYULYZL3WODTOYQVYNNW4FXSCQ3VPH2JBSAOMBI
GBFFMPYMQR2PE5WN23EBFYP44CSHZWNTWUFILSQMTWT3IL3Y74HQAECF,@ayla,classic,https://stellar.expert/explorer/testnet/account/GBFFMPYMQR2PE5WN23EBFYP44CSHZWNTWUFILSQMTWT3IL3Y74HQAECF
GBJTLUK26VNASCWPFTGNSDHXM2ZA6EVPT35EP6ZC4OC75MC6FE2TZZOM,@timo,classic,https://stellar.expert/explorer/testnet/account/GBJTLUK26VNASCWPFTGNSDHXM2ZA6EVPT35EP6ZC4OC75MC6FE2TZZOM
GBK46P2UF5QHNE3UCWSK2GNQP2Q2VLSSDZOXPHIJ5YVH6CHGFAGD5DKB,@semsi,classic,https://stellar.expert/explorer/testnet/account/GBK46P2UF5QHNE3UCWSK2GNQP2Q2VLSSDZOXPHIJ5YVH6CHGFAGD5DKB
GBKR4O7MPAB627X2WTZTMIALHHMZRFM56OZW54Y3YFOA5BOZBSO3CB2G,@melis,classic,https://stellar.expert/explorer/testnet/account/GBKR4O7MPAB627X2WTZTMIALHHMZRFM56OZW54Y3YFOA5BOZBSO3CB2G
GBLICMK2JQWZ5MP5S5RIUWJCWBMJTMIYCCF7JBMIVPJVRADUOMFFCOPO,@sena,classic,https://stellar.expert/explorer/testnet/account/GBLICMK2JQWZ5MP5S5RIUWJCWBMJTMIYCCF7JBMIVPJVRADUOMFFCOPO
GBNUHDXWVFB67X3OCJQJI2ZLYU4AX2H662PJRO4UUJ4HKMUY6F2UEETY,@deniz,classic,https://stellar.expert/explorer/testnet/account/GBNUHDXWVFB67X3OCJQJI2ZLYU4AX2H662PJRO4UUJ4HKMUY6F2UEETY
GBXBAOEQXEHH6434JZKXC4XTLTHVV73LLQURNIPU5D545ZWNAKXAIVP4,@sigrun,classic,https://stellar.expert/explorer/testnet/account/GBXBAOEQXEHH6434JZKXC4XTLTHVV73LLQURNIPU5D545ZWNAKXAIVP4
GBXE7TNYOYJ5GFU62OO2A7XX4B54IIRS3VJKBRKZZ3MTY7PZFHHQIQ5U,@isil,classic,https://stellar.expert/explorer/testnet/account/GBXE7TNYOYJ5GFU62OO2A7XX4B54IIRS3VJKBRKZZ3MTY7PZFHHQIQ5U
GC2HADMOYSWG4W5CBUITH2S4NYYT7JOUUSFRA5L5JZMOMS73LFKSOHUL,@katja,classic,https://stellar.expert/explorer/testnet/account/GC2HADMOYSWG4W5CBUITH2S4NYYT7JOUUSFRA5L5JZMOMS73LFKSOHUL
GC2JHTH3IHJ2V3OD6AOCTSGN7CQ3NPIRIOU5F2UHNYOSV5CF6OKNGOW4,@ferhat,classic,https://stellar.expert/explorer/testnet/account/GC2JHTH3IHJ2V3OD6AOCTSGN7CQ3NPIRIOU5F2UHNYOSV5CF6OKNGOW4
GC3QOP7H24ZZ55RXQSBV2PM37EZDO3UOJUCHGWVP47PYLOYGY64W3IJB,@nuria,classic,https://stellar.expert/explorer/testnet/account/GC3QOP7H24ZZ55RXQSBV2PM37EZDO3UOJUCHGWVP47PYLOYGY64W3IJB
GC6AYGJGHGE4A7J2CSRJBABMWHT4ML4L323VVIGARPMTD5Y3ZNHY5DJP,@gorkem,classic,https://stellar.expert/explorer/testnet/account/GC6AYGJGHGE4A7J2CSRJBABMWHT4ML4L323VVIGARPMTD5Y3ZNHY5DJP
GC6GUGG6J64GZVKRGEUXCISPHHG4DCMT7CZGPNV34FDDQWHRTHACCHD5,@iris,classic,https://stellar.expert/explorer/testnet/account/GC6GUGG6J64GZVKRGEUXCISPHHG4DCMT7CZGPNV34FDDQWHRTHACCHD5
GC6IHCGBFLJ5Q5SI4KECCR7WB54WUH647BVVY65PVXABYHMHHNKTLYPH,@aino,classic,https://stellar.expert/explorer/testnet/account/GC6IHCGBFLJ5Q5SI4KECCR7WB54WUH647BVVY65PVXABYHMHHNKTLYPH
GC7JRDJ3M4OXVGWIEKGNA2IWO4ODEZYZB7KAVMSK4KHARJLF42VCYRLO,@baris,classic,https://stellar.expert/explorer/testnet/account/GC7JRDJ3M4OXVGWIEKGNA2IWO4ODEZYZB7KAVMSK4KHARJLF42VCYRLO
GCIDACWUCMF5K3RL26GMOSVOOUK3YM36FZIHQZPOURTSGQKYEEYFBM4H,@efe,classic,https://stellar.expert/explorer/testnet/account/GCIDACWUCMF5K3RL26GMOSVOOUK3YM36FZIHQZPOURTSGQKYEEYFBM4H
GCKP6ZLR4BQAAPDQWYCCKX5T7BWEKEAIN4W2MG7CAHE5XJW4GEB62ER7,@necmi,classic,https://stellar.expert/explorer/testnet/account/GCKP6ZLR4BQAAPDQWYCCKX5T7BWEKEAIN4W2MG7CAHE5XJW4GEB62ER7
GCKRBOKMFJMKHED7E47JYFJD5YDWVS4PPO3IAL57WCRZNDSTWPPNPAML,@cihan,classic,https://stellar.expert/explorer/testnet/account/GCKRBOKMFJMKHED7E47JYFJD5YDWVS4PPO3IAL57WCRZNDSTWPPNPAML
GCQQ3HEHCIMV6ZNKT7CMJHSR3DEUAHWBJDWSD6LY4NSFQFS6TD6ZZFDH,@berkay,classic,https://stellar.expert/explorer/testnet/account/GCQQ3HEHCIMV6ZNKT7CMJHSR3DEUAHWBJDWSD6LY4NSFQFS6TD6ZZFDH
GCRC2LEZBBGMDXTUXBK4LSS4OIOF446H6BEGEIYGA44F7SO3YZHNFKZW,@bora,classic,https://stellar.expert/explorer/testnet/account/GCRC2LEZBBGMDXTUXBK4LSS4OIOF446H6BEGEIYGA44F7SO3YZHNFKZW
GCRUQUDMCE2GYA2QJOBZ2QOOMTKXZRNRLKCTXWUBS7UBJZN3SU236Z5Y,@gokce,classic,https://stellar.expert/explorer/testnet/account/GCRUQUDMCE2GYA2QJOBZ2QOOMTKXZRNRLKCTXWUBS7UBJZN3SU236Z5Y
GCV43YD4SV2FWCF4IXBEFTADQJF6XMDL4FSGIP57RTMTIT2TKI5UUABM,@mael,classic,https://stellar.expert/explorer/testnet/account/GCV43YD4SV2FWCF4IXBEFTADQJF6XMDL4FSGIP57RTMTIT2TKI5UUABM
GCVPUWH46AF7MWAYRT3UWQDOSUV62TCLFBF6JYWCXPU4GUPI5ZNXO4U4,@doruk,classic,https://stellar.expert/explorer/testnet/account/GCVPUWH46AF7MWAYRT3UWQDOSUV62TCLFBF6JYWCXPU4GUPI5ZNXO4U4
GCXEFKRKFLCM744EVKVUH454BPNGRIXPAACGGY5VTEQDMURLTNGH4FOO,@bjorn,classic,https://stellar.expert/explorer/testnet/account/GCXEFKRKFLCM744EVKVUH454BPNGRIXPAACGGY5VTEQDMURLTNGH4FOO
GCZUWNKGZIF6E6SCKQKLW5N65EIIPZONDEKATATHWHYJFVWFWZUAHV3M,@thijs,classic,https://stellar.expert/explorer/testnet/account/GCZUWNKGZIF6E6SCKQKLW5N65EIIPZONDEKATATHWHYJFVWFWZUAHV3M
GD72QTLOI4A6AIHY4GT3YMBWXPL2XNL7A254HDMJJATU2YVUGB4HH5KW,@wojtek,classic,https://stellar.expert/explorer/testnet/account/GD72QTLOI4A6AIHY4GT3YMBWXPL2XNL7A254HDMJJATU2YVUGB4HH5KW
GD7XMKLJT4QBGS3HZE36NKMSGV2O5MFCQLQ26E7J2C7EZDN46GZBZOS7,@eero,classic,https://stellar.expert/explorer/testnet/account/GD7XMKLJT4QBGS3HZE36NKMSGV2O5MFCQLQ26E7J2C7EZDN46GZBZOS7
GDAFWVMQP5AMSZRWCXA4JMKOVFF7CNZ7OVHWBOUB7GJS3CD7QPVYPN37,@tuna,classic,https://stellar.expert/explorer/testnet/account/GDAFWVMQP5AMSZRWCXA4JMKOVFF7CNZ7OVHWBOUB7GJS3CD7QPVYPN37
GDCIR25QV62YQZIAJLUYBCDDMNT3BABM4COVOPQFQUNGJ37XJMJ4TSZA,@ozan,classic,https://stellar.expert/explorer/testnet/account/GDCIR25QV62YQZIAJLUYBCDDMNT3BABM4COVOPQFQUNGJ37XJMJ4TSZA
GDEQH2KICXTS4OOAMURO5BKWGGZ7R4Y4O57DZBEODLSYMAQRAV4VRMVO,@ezgi,classic,https://stellar.expert/explorer/testnet/account/GDEQH2KICXTS4OOAMURO5BKWGGZ7R4Y4O57DZBEODLSYMAQRAV4VRMVO
GDLKGIRDMDMEHSYT3GVEGDEPSOE4C4MB6KCUQ5RD4NC6PNGQWPRQN7AW,@yagmur,classic,https://stellar.expert/explorer/testnet/account/GDLKGIRDMDMEHSYT3GVEGDEPSOE4C4MB6KCUQ5RD4NC6PNGQWPRQN7AW
GDU3MYNP5DUZD25QJZTNGJBRVUGSUYWBBV6Q3E5IUJ7YZLHYNEX7G2YM,@ondrej,classic,https://stellar.expert/explorer/testnet/account/GDU3MYNP5DUZD25QJZTNGJBRVUGSUYWBBV6Q3E5IUJ7YZLHYNEX7G2YM
